id,genres,cast,vote_average,director,keywords
1,['Drama'],"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Henry Fonda', 'Joseph Sweeney', 'Ed Begley', 'George Voskovec', 'Robert Webber', 'Rudy Bond', 'Tom Gorman', 'James Kelly', 'Billy Nelson', 'John Savoca', 'Walter Stocker']",8.5,Sidney Lumet,"['judge', 'jurors', 'sultriness', 'death penalty', 'father murder', 'puerto rican', 'anonymity', 'court case', 'heat', 'class', 'innocence', 'court', 'violence', 'courtroom']"
2,"['Science Fiction', 'Mystery', 'Adventure']","['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank Miller', 'Ed Bishop', 'Edwina Carroll', 'Heather Downham', 'Penny Brahms', ""Maggie d'Abo"", 'Chela Matthison', 'Judy Kiern', 'Alan Gifford', 'Ann Gillis', 'Vivian Kubrick', 'Kenneth Kendall', 'Kevin Scott', 'Martin Amor', 'Bill Weston', 'Glenn Beck', 'Mike Lovell', 'John Ashley', 'Jimmy Bell', 'David Charkham', 'Simon Davis', 'Jonathan Daw', 'Péter Delmár', 'Terry Duggan', 'David Fleetwood', 'Danny Grover', 'Brian Hawley', 'David Hines', 'Tony Jackson', 'John Jordan', 'Scott MacKee', 'Laurence Marchant', 'Darryl Paes', 'Joe Refalo', 'Andy Wallace', 'Bob Wilyman', 'Richard Woods', 'S. Newton Anderson', 'Sheraton Blount', 'Ann Bormann', 'Julie Croft', 'Penny Francis', 'Marcella Markham', 'Irena Marr', 'Krystyna Marr', 'Kim Neil', 'Jane Pearl', 'Penny Pearl', 'Burnell Tucker', 'John Swindells', 'John Clifford']",8.1,Stanley Kubrick,"['moon', 'jupiter', 'artificial intelligence', 'man vs machine', 'technology', 'super computer', 'space travel', 'space mission', 'moon base', 'astronaut', 'cult film', 'evolution', 'monolith', 'space station', 'space opera', '2000s']"
3,"['Drama', 'Comedy']","['Aamir Khan', 'R. Madhavan', 'Sharman Joshi', 'Kareena Kapoor Khan', 'Boman Irani', 'Omi Vaidya', 'Ali Fazal', 'Mona Singh', 'Javed Jaffrey', 'Parikshat Sahni', 'Amardeep Jha', 'Jayant Kripalani', 'Arun Bali', 'Achyut Potdar', 'Aakash Dabhade', 'Akhil Mishra', 'Atul Tiwari', 'Rakesh Sharma', 'Pitobash Tripathy', 'Pooja Goswami', 'R.S. Kodange', 'Annapurna Kaul', 'Dharmendra Bhurji', 'Harvinder Singh', 'Rahul Kumar', 'Mukund Bhatt', 'Chaitali Bose', 'Olivier Lafont', 'Meghna Bhalla', 'Praful Kulkarni', 'Bharat Jha', 'Komal Jha', 'Rohitash Gaud', 'Freny Bhagat', 'Jigmet Dorjey', 'Tsanwal Namgyal', 'Malvika Singh', 'Supriya Shukla', 'Pundit Prayag Raj', 'Sitaram Sharma', 'Saurabh Agnihotri', 'Nishi Singh', 'Suhas Vaidya', 'Lata Kurdikar', 'Keshav Rae', 'Insia Lacewalla', 'Kishor Patil', 'Shankar Sachdev', 'Farida Dadi', 'Shoaib Ahmed', 'Dushyant Wagh', 'A.S. Duggal', 'Dilshad Edibam', 'Rajeev Ravindranathan', 'Hitesh Tak', 'Rajendra Patwardhan', 'Madhav Vaze', 'Dileep Desai', 'Raghunathan', 'Vaidyanathan', 'Kumar Veer Singh', 'Shailja Dhar', 'Dinesh Kumar', 'Apul Jaisinghani', 'Trilok Sadhwani', 'Sonu', 'Jalil Parkar', 'Debashish Naha', 'Michael Joseph', 'Smriti', 'Sanjay Sood', 'Dayal Sharma', 'Elihud George', 'Sarvanna', 'Tanveer Ahmed']",8.0,Rajkumar Hirani,"['suicide', 'suicide attempt', 'college', 'musical', 'slapstick', 'friends', 'engineering', 'coming of age', 'student', 'subjective camera']"
4,"['Drama', 'Romance']","['Russell Crowe', 'Jennifer Connelly', 'Ed Harris', 'Paul Bettany', 'Christopher Plummer', 'Josh Lucas', 'Adam Goldberg', 'Anthony Rapp', 'Judd Hirsch', 'Jason Gray-Stanford', 'Austin Pendleton', 'Vivien Cardone', 'Jillie Simon', 'Victor Steinbach', 'Tanya Clarke', 'Thomas F. Walsh', 'Jesse Doran', 'Kent Cassella', 'Patrick Blindauer', 'John Blaylock', 'Roy Thinnes', 'Anthony Easton', 'Cheryl Howard', 'Josh Pais', 'David B. Allen', 'Michael Esper', 'Erik Van Wyck', 'Rance Howard', 'Jane Jenkins', 'Darius Stone', 'Valentina Cardinalli', 'Teagle F. Bougere', 'Amy Walz', 'Tracey Toomey', 'Jennifer Weedon', 'Yvonne Thomas', 'Holly Pitrago', 'Isadore Rosenfeld', 'Alex Toma', 'Robert Myers', 'Bryce Dallas Howard']",7.8,Ron Howard,"['individual', 'schizophrenia', 'massachusetts', ""love of one's life"", 'intelligence', 'mathematician', 'market economy', 'economic theory', 'princeton university', 'nobel prize', 'mathematical theorem', 'm.i.t.', 'biography', 'mathematics', 'delusion']"
5,"['Science Fiction', 'Drama']","['Malcolm McDowell', 'Patrick Magee', 'Adrienne Corri', 'Michael Bates', 'Warren Clarke', 'James Marcus', 'Michael Tarn', 'Carl Duering', 'Paul Farrell', 'Miriam Karlin', 'Sheila Raynor', 'Aubrey Morris', 'Godfrey Quigley', 'Clive Francis', 'Richard Connaught', 'Pauline Taylor', 'Philip Stone', 'David Prowse', 'Michael Gover', 'Anthony Sharp', 'Margaret Tyzack', 'Gillian Hills', 'Carol Drinkwater', 'Virginia Wetherell', 'Katya Wyeth', 'George Coulouris', 'Pat Roach']",8.2,Stanley Kubrick,"['london, england', 'street gang', 'robbery', 'sexuality', 'based on novel or book', 'parent child relationship', 'great britain', 'nihilism', 'social worker', 'society', 'dystopia', 'psychopath', 'satire', 'controversial', 'violence', 'juvenile delinquent', 'cult film', 'sex crime', 'futuristic society', 'teenage protagonist']"
6,['Drama'],"['Vivien Leigh', 'Marlon Brando', 'Kim Hunter', 'Karl Malden', 'Rudy Bond', 'Nick Dennis', 'Peg Hillias', 'Wright King', 'Richard Garrick', 'Ann Dere', 'Edna Thomas', 'Mickey Kuhn', 'Mel Archer', 'Walter Bacon', 'Dahn Ben Amotz', 'Marietta Canty', 'John George', 'John Gonetos', 'Chester Jones', 'Lyle Latell', 'Joe Brooks', 'Mike Morelli', ""William H. O'Brien"", 'Maxie Thrower', 'Charles Wagenheim', 'John B. Williams', 'Buck Woods']",7.8,Elia Kazan,"['sibling relationship', 'southern usa', 'rape', 'loss of sense of reality', 'brother-in-law', 'violent husband', 'new orleans, usa', 'middle aged woman', 'sibling-in-law sibling-in-law relationship', 'light bulb', 'expectant father', 'sister sister relationship']"
7,"['Horror', 'Science Fiction']","['Sigourney Weaver', 'Tom Skerritt', 'Veronica Cartwright', 'Harry Dean Stanton', 'John Hurt', 'Ian Holm', 'Yaphet Kotto', 'Bolaji Badejo', 'Eddie Powell', 'Roy Scammell', 'Helen Horton']",8.1,Ridley Scott,"['android', 'spacecraft', 'countdown', 'space marine', 'space suit', 'beheading', 'space travel', 'dystopia', 'biology', 'cowardice', 'space', 'alien', 'female protagonist', 'cult film', 'parasite', 'space opera', 'h. r. giger', 'cosmos', 'xenomorph']"
8,['Drama'],"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm', 'Gary Merrill', 'Hugh Marlowe', 'Gregory Ratoff', 'Thelma Ritter', 'Marilyn Monroe', 'Barbara Bates', 'Walter Hampden', 'Randy Stuart', 'Craig Hill', 'Leland Harris', 'Barbara White', 'William Pullen', 'Claude Stroud', 'Eugene Borden', 'Helen Mowery', 'Steven Geray', 'Bess Flowers', 'Colin Kenny', 'Harold Miller', 'Frank Baker', 'Franklyn Farnum', ""William H. O'Brien""]",8.2,Joseph L. Mankiewicz,"['playwright', 'hollywood', 'black and white', 'relationship', 'insecurity', 'broadway', 'based on short story', 'theater', 'broadway star']"
9,"['Drama', 'War']","['Louis Wolheim', 'Lew Ayres', 'John Wray', 'Arnold Lucy', 'Ben Alexander', 'Scott Kolk', 'Owen Davis Jr.', 'Walter Rogers', 'William Bakewell', 'Russell Gleason', 'Richard Alexander', 'Harold Goodwin', 'Slim Summerville', 'G. Pat Collins', 'Beryl Mercer', 'Edmund Breese', 'Ernie Adams', 'Marion Clayton Anderson', 'Poupée Andriot', 'Vince Barnett', 'Daisy Belmore', 'Glen Boles', 'Heinie Conklin', ""Yola d'Avril"", 'Renée Damonde', 'Arthur Gardner', 'Raymond Griffith', 'Ellen Hall', 'William Irving', 'Frederick Kohner', 'Frank Leichtfried', 'Tom London', 'Bertha Mann', 'Joan Marsh', 'Edwin Maxwell', 'Jack McHugh', 'Maurice Murphy', 'Robert Parrish', 'Bodil Rosing', 'Wolfgang Staudte', 'Jack Sutherland', 'David Tyrell', 'Dorothy Vernon', 'Fred Zinnemann']",7.8,Lewis Milestone,"['germany', 'disillusion', 'patriotism', 'world war i', 'friendship', 'army', 'boot camp', 'battlefield', 'steel helmet', 'atrocity', 'soldier', 'combat', 'warfare', 'death', 'pre-code', 'anti war', 'mud', 'trenches', 'young soldier', 'battlefield trauma']"
10,"['Drama', 'History', 'Music']","['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice', 'Simon Callow', 'Christine Ebersole', 'Jeffrey Jones', 'Barbara Bryne', 'Cynthia Nixon', 'Douglas Seale', 'Charles Kay', 'Kenny Baker', 'Martin Cavina', 'Roderick Cook', 'Milan Demjanenko', 'Peter DiGesu', 'Patrick Hines', 'Nicholas Kepros', 'Philip Lenkowsky', 'Lisbeth Bartlett', 'Richard Frank', 'Herman Meckler', 'Jonathan Moore', 'Brian Pettifer', 'Vincent Schiavelli', 'John Strauss', 'Karl-Heinz Teuber', 'Miro Grisa', 'Karel Gult', 'Ladislav Krečmer', 'Karel Fiala', 'John Carrafa', 'Hana Brejchová', 'Miriam Chytilová', 'Karel Effa', 'René Gabzdyl', 'Karel Hábl', 'Jiří Krytinář', 'Jan Kuželka', 'Jiří Lír', 'Jitka Molavcová', 'Pavel Nový', 'Jan Pohan', 'Tereza Pokorná-Herzová', 'Ivan Pokorný', 'Milan Riehs', 'Dana Vávrová', 'June Anderson', 'Isobel Buchanan', 'Anne Howells', 'Robin Leggate', 'Felicity Lott', 'Alexander Oliver', 'Samuel Ramey', 'Richard Stilwell', 'John Tomlinson', 'Willard White', 'Michele Esposito', 'Zdeněk Mahler', 'Vladimír Svitáček', 'Jana Musilová', 'Kenneth McMillan', 'Cassie Stuart', 'Rita Zohar']",8.0,Miloš Forman,"['italy', 'austria', 'composer', 'opera', 'talent', 'emperor', 'musician', 'marriage crisis', 'mozart', 'god', 'murder', 'vienna, austria', 'envy', '18th century']"
11,['Drama'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari', 'Chris Cooper', 'Allison Janney', 'Peter Gallagher', 'Scott Bakula', 'Sam Robards', 'Barry Del Sherman', 'John Cho', 'Hal Fort Atkinson', 'Kent Faulcon', 'Ara Celi', 'Sue Casey', 'Brenda Wehle', 'Lisa Cloud', 'Amber Smith', 'Joel McCrary', 'Marissa Jaret Winokur', 'Dennis Anderson', 'Matthew Kimbrough', 'Erin Cathryn Strubbe', 'Alison Faulk', 'Krista Goodsitt', 'Lily Houtkin', 'Carolina Lancaster', 'Mona Leah', 'Chekesha Van Putten', 'Emily Zachary', 'Nancy Anderson', 'Reshma Gajjar', 'Stephanie Rizzo', 'Heather Joy Sher', 'Chelsea Hertford', 'Elaine Corral Kendall', 'David C. Fisher', 'Tom Miller', 'Bruce Cohen']",8.0,Sam Mendes,"['adultery', 'parent child relationship', 'midlife crisis', 'coming out', 'first time', 'camcorder', 'virgin', 'estate agent', 'cheerleader', 'rose', 'satire', 'loneliness', 'dark comedy', 'suburbia', 'coming of age', 'marijuana', 'exercise', 'extramarital affair', 'quitting a job', 'retired army man', 'affair', 'closeted homosexual', 'gay']"
12,['Drama'],"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Elliott Gould', 'Ethan Suplee', 'Fairuza Balk', 'Christopher Masterson', 'Giuseppe Andrews', 'Stacy Keach', 'William Russ', 'Jennifer Lien', 'Avery Brooks', 'Guy Torry', 'Joe Cortese', 'Jason Bose Smith', 'Antonio David Lyons', 'Alex Sol', 'Keram Malicki-Sánchez', 'Michelle Christine White', 'Jonathan Fowler Jr.', 'Jordan Marder', 'Nicholas R. Oleson', 'Paul Le Mat', 'Thomas L. Bellissimo', 'Cherish Lee', 'Sam Vlahos', 'Tara Blanchard', 'Anne Lambton', 'Steve Wolford', 'Richard Noyce', 'Danso Gordon', 'David Basulto', 'Alexis Rose Coen', 'Kiante Elam', 'Paul Hopkins', 'Keith Odett', 'Jim Norton', 'Paul E. Short', 'Nigel Miguel', 'Darrell Britt', ""Robert 'Duckie' Carpenter"", 'Sydney ""Big Dawg"" Colston', 'John Embry', 'Maximillian Kesmodel', 'Barbie Marie', 'Allie Moss', 'Sam Sarpong', 'Selwyn Ward', 'Denney Pierce', 'Glendon Rich']",8.4,Tony Kaye,"['neo nazism', 'prison', 'skinhead', 'sibling relationship', 'rape', 'fascism', 'brother', 'basketball', 'jail', 'school', 'swastika', 'los angeles, california', 'family', 'hate', 'xenophobia', 'interracial friendship', 'nazism']"
13,"['Drama', 'Thriller']","['Gael García Bernal', 'Vanessa Bauche', 'Goya Toledo', 'Álvaro Guerrero', 'Emilio Echevarría', 'Jorge Salinas', 'Rodrigo Murray', 'Humberto Busto', 'Gerardo Campbell', 'Rosa María Bianchi', 'Dunia Saldívar', 'Adriana Barraza', 'José Sefami', 'Lourdes Echevarría', 'Marco Pérez', 'Laura Almela', 'Gustavo Sánchez Parra', 'Dagoberto Gama', 'Rodrigo Ostap', 'Patricio Castillo', 'Roberto Medina', 'Carlos Samperio', 'Mauricio Martínez', 'Ricardo Dalmacci', 'Gustavo Muñoz']",7.6,Alejandro González Iñárritu,"['homeless person', 'mexico city', 'daughter', 'secret love', 'dog fighting', 'money', 'dog', 'nonlinear timeline', 'multiple storylines', 'new mexican cinema']"
14,"['Crime', 'Drama', 'Mystery', 'Thriller']","['James Stewart', 'Lee Remick', 'Ben Gazzara', ""Arthur O'Connell"", 'Eve Arden', 'Kathryn Grant', 'George C. Scott', 'Orson Bean', 'Russ Brown', 'Murray Hamilton', 'Brooks West', 'Ken Lynch', 'John Qualen', 'Howard McNear', 'Alexander Campbell', 'Ned Wever', 'Jimmy Conlin', 'Royal Beal', 'Joseph Kearns', 'Don Ross', 'Lloyd Le Vasseur', 'James Waters', 'Joseph N. Welch', 'Duke Ellington', 'Irv Kupcinet', 'Chuck Ramsay', 'Mrs. Joseph Welch']",7.9,Otto Preminger,"['rape', 'adultery', 'based on novel or book', 'jealousy', 'michigan', 'judge', 'hays code', 'jazz', 'jurors', 'court case', 'lawyer', 'trial', 'courtroom', 'murder trial', 'courtroom drama']"
15,"['Comedy', 'Drama', 'Romance']","['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Carol Kane', 'Paul Simon', 'Shelley Duvall', 'Janet Margolin', 'Colleen Dewhurst', 'Christopher Walken', 'Donald Symington', 'Russell Horton', 'Dick Cavett', 'Marshall McLuhan', ""Beverly D'Angelo"", 'Tracey Walter', 'Sigourney Weaver', 'Laurie Bird', 'Mark Lenard', 'John Glover', 'John Dennis Johnston', 'Jim McKrell', 'Paula Trueman', 'Shelley Hack', 'Jeff Goldblum', 'Gary Mule Deer', 'Walter Bernstein', 'Hy Anzell', 'Mordecai Lawner', 'Joan Neuman', 'Jonathan Munk', 'Helen Ludlam', 'Ruth Volner', 'Martin Rosenblatt', 'Rashel Novikoff', 'Humphrey Davis', 'Veronica Radburn', 'Wendy Girard', 'Mary Boylan', 'Christine Jones', 'John Doumanian', 'Chris Gampel', 'Dan Ruskin', 'Ved Bandhu', 'Johnny Haymer', 'Bernie Styles', 'Truman Capote', 'Jan Citron', 'Gregory Doucette', 'Harrison Ressler', 'Billie Perkins', 'Kathryn Janssen', 'Juliet Graham', 'William Callaway', 'Roger Newman', 'Alan Landers', 'Jean Sarah Frost', 'Robin Mary Paris', 'Charles Levin', 'Wayne Carson', 'Michael Karm', 'Petronia Johnson', 'Shaun Casey', 'Lou Picetti', 'Loretta Tupper', 'James Burge', 'Albert M. Ottenheimer', 'Gary Allen', 'Sybil Bowan', 'Margaretta Warwick', 'Lucy Lee Flippin', 'Bob Maroff']",7.8,Woody Allen,"['new york city', 'tennis', 'cocaine', 'narration', 'neurosis', 'comedian', 'job interview', 'sports', 'love', 'romantic comedy', 'singer', 'breaking the fourth wall', 'talking to the audience', 'volkswagen beetle', 'lobster']"
16,"['Drama', 'War']","['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest', 'Laurence Fishburne', 'Albert Hall', 'Sam Bottoms', 'Dennis Hopper', 'G. D. Spradlin', 'Harrison Ford', 'Jerry Ziesmer', 'Scott Glenn', 'James Keane', 'Kerry Rossall', 'Tom Mason', 'Cynthia Wood', 'Colleen Camp', 'Linda Carpenter', 'Aurore Clément', 'Jack Thibeau', 'Glenn Walken', 'Damien Leake', 'Marc Coppola', 'Bill Graham', 'Jerry Ross', 'Charles Robinson', 'Nick Nicholson', 'Don Gordon Bell', 'Evan A. Lottman', 'R. Lee Ermey', 'Jim Gaines', 'Vittorio Storaro', 'Francis Ford Coppola', 'Henry Strzalkowski', 'Lonnie Woodley', 'Herb Rice', 'Joe Estevez']",8.3,Francis Ford Coppola,"['cia', 'drug abuse', 'journalist', 'based on novel or book', 'guerrilla', 'vietnam', 'vietcong', 'cambodia', 'secret mission', 'army', 'insanity', 'surrealism', 'tribe', 'mission', 'green beret', 'jungle', 'descent into madness', 'brutality', 'riverboat']"
17,"['Comedy', 'Crime']","['Cary Grant', 'Priscilla Lane', 'Raymond Massey', 'Jack Carson', 'Edward Everett Horton', 'Peter Lorre', 'James Gleason', 'Josephine Hull', 'Jean Adair', 'John Alexander', 'Grant Mitchell', 'Edward McNamara', 'Garry Owen', 'John Ridgely', 'Vaughan Glaser', 'Chester Clute', 'Charles Lane', 'Edward McWade', 'Hank Mann', 'Spencer Charters', 'Sol Gorss', 'Lee Phelps', 'Raymond Walburn', ""Spec O'Donnell"", 'Leo White']",7.6,Frank Capra,"['poison', 'cemetery', 'cellar', 'halloween', 'marriage', 'insanity', 'murder', 'serial killer', 'writer', 'corpse', 'critic']"
18,"['Adventure', 'Comedy', 'Science Fiction', 'Family']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover', 'Thomas F. Wilson', 'Claudia Wells', 'Marc McClure', 'Wendie Jo Sperber', 'George DiCenzo', 'Frances Lee McCain', 'James Tolkan', 'J.J. Cohen', 'Casey Siemaszko', 'Billy Zane', 'Harry Waters, Jr.', 'Donald Fullilove', 'Lisa Freeman', 'Cristen Kauffman', 'Elsa Raven', 'Will Hare', 'Ivy Bethune', 'Jason Marin', 'Katherine Britton', 'Jason Hervey', 'Maia Brewton', 'Courtney Gains', 'Richard L. Duran', ""Jeff O'Haco"", 'Johnny Green', 'Jamie Abbott', 'Norman Alden', 'Read Morgan', 'Sachi Parker', 'Robert Krantz', 'Gary Riley', 'Karen Petrasek', 'George Buck Flower', 'Tommy Thomas', ""Granville 'Danny' Young"", 'David Harold Brown', 'Lloyd L. Tolbert', 'Paul Hanson', 'Lee Brownfield', 'Robert DeLapp']",8.3,Robert Zemeckis,"['clock tower', 'flying car', 'car race', 'terrorist', 'delorean', 'lightning', 'guitar', 'plutonium', 'sports car', 'inventor', 'journey in the past', 'invention', 'time travel', 'race against time', 'bullying', 'partner', 'profanity', 'misfit', 'mad scientist', 'fish out of water', 'teenage love', 'destiny', 'hidden identity', 'odd couple', 'escapade', 'disorder', 'chases and races', 'love and romance', 'teenage life', 'misfit partners', 'changing the past or future', 'getting home', '1950s']"
19,"['Drama', 'Romance', 'War']","[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger', 'Diana Körner', 'Gay Hamilton', 'Frank Middlemass', ""Arthur O'Sullivan"", 'Godfrey Quigley', 'Leonard Rossiter', 'Philip Stone', 'Steven Berkoff', 'Marie Kean', 'Murray Melvin', 'André Morell', 'Leon Vitali', 'Billy Boyle', 'John Bindon', 'Roger Booth', 'Jonathan Cecil', 'Peter Cellier', 'Geoffrey Chater', 'Anthony Dawes', 'Patrick Dawson', 'Bernard Hepton', 'Anthony Herrick', 'Barry Jackson', 'Wolf Kahler', 'Pat Laffan', 'Hans Meyer', 'Ferdy Mayne', 'David Morley', 'Liam Redmond', 'Pat Roach', 'Dominic Savage', 'Frederick Schiller', 'George Sewell', 'Anthony Sharp', 'John Sharp', 'Roy Spencer', 'John Sullivan', 'Harry Towb', 'Michael Hordern']",8.0,Stanley Kubrick,"['based on novel or book', 'palace', 'british army', 'fencing', 'epic', 'debt', 'ireland', 'british soldier', '18th century', 'seven years war', 'nobility', 'prussia']"
20,"['Action', 'Crime', 'Drama']","['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Ken Watanabe', 'Mark Boone Junior', 'Linus Roache', 'Morgan Freeman', 'Larry Holden', 'Gerard Murphy', 'Colin McFarlane', 'Sara Stewart', 'Gus Lewis', 'Richard Brake', 'Rade Šerbedžija', 'Emma Lockhart', 'Christine Adams', 'Catherine Porter', 'John Nolan', 'Karen David', 'Jonathan D. Ellis', 'Tamer Hassan', 'Ronan Leahy', 'Vincent Wong', 'Tom Wu', 'Mark Chiu', 'Turbo Kong', 'Sai-Kit Yung', 'Chike Chan', 'Tenzin Clive Ball', 'Tenzin Gyurme', 'Jamie Hayden', 'David Murray', 'John Kazek', 'Darragh Kelly', 'Patrick Nolan', 'Joseph Rye', 'Kwaku Ankomah', 'Jo Martin', 'Charles Edwards', 'Lucy Russell', 'Timothy Deenihan', 'David Bedella', 'Flavia Masetto', 'Emily Steven-Daly', 'Martin McDougall', 'Noah Lee Margetts', 'Joe Hanley', 'Karl Shiels', 'Roger Griffiths', 'Stephen Walters', 'Richard Laing', 'Matt Miller', 'Risteard Cooper', 'Shane Rimmer', 'Jeremy Theobald', 'Alexandra Bastedo', 'Soo Hee Ding', 'Conn Horgan', 'Phill Curr', 'Jack Gleeson', 'John Judd', 'Sarah Wateridge', 'Charlie Kranz', 'Terry McMahon', 'Cedric Young', 'Tim Booth', 'Tom Nolan', 'Leon Delroy Williams', 'Roger Yuan', 'Joe Sargent', 'Mel Taylor', 'Ilyssa Fradin', 'Andrew Pleavin', 'Jeff Christian', 'John Burke', 'Earlene Bentley', 'Alex Moggridge', 'Jay Buozzi', 'Jordan Shaw', 'Omar Mostafa', 'Patrick Pond', 'Poppy Tierney', 'Rory Campbell', 'Fabio Cardascia', 'Spencer Wilding', 'Mark Rhino Smith', 'Khan Bonfils', 'Dave Legeno', 'Ruben Halse', 'Rodney Ryan', 'Dominic Burgess', 'Nadia Cameron-Blakey', 'Mark Straker', 'T.J. Ramini', 'Kieran Hurley', 'Emmanuel Idowu', 'Jeff Tanner']",7.7,Christopher Nolan,"['loss of loved one', 'martial arts', 'dc comics', 'crime fighter', 'secret identity', 'undercover', 'vigilante', 'superhero', 'based on comic', 'rivalry', 'tragic hero', 'ninja', 'super power', 'haunted by the past', 'evil doctor', 'master villain', 'fighting crime', 'unfulfilled love']"
21,"['Romance', 'Family', 'Animation', 'Fantasy']","[""Paige O'Hara"", 'Robby Benson', 'Richard White', 'Jerry Orbach', 'David Ogden Stiers', 'Angela Lansbury', 'Rex Everhart', 'Jesse Corti', 'Bradley Pierce', 'Hal Smith', 'Jo Anne Worley', 'Mary Kay Bergman', 'Kath Soucie', 'Alvin Epstein', 'Tony Jay', 'Brian Cummings', 'Alec Murphy', 'Kimmy Robertson', 'Frank Welker', 'Alex Murphy', 'Sherry Lynn', 'Mickie McGowan', 'Jack Angel', 'Bruce Adler', 'Scott Barnes', 'Vanna Bonta', 'Maureen Brennan', 'Liz Callaway', 'Philip L. Clarke', 'Margery Daley', 'Jennifer Darling', 'Albert de Ruiter', 'George Dvorsky', 'Bill Farmer', 'Bruce Fifer', 'Johnson Flucker', 'Larry Hansen', 'Randy Hansen', 'Mary Ann Hart', 'Phyllis Kubey', 'Hearndon Lackey', 'Larry Moss', 'Panchali Null', 'Wilbur Pauley', 'Jennifer Perito', 'Caroline Peyton', 'Patrick Pinney', 'Cynthia Richards-Hewes', 'Phil Proctor', 'Sergio Corbucci', 'Stephen Sturk']",7.7,Kirk Wise,"['prince', 'castle', 'rose', 'musical', 'princess', 'beast', 'belle', 'la belle et la bête', 'adapted into play or musical']"
22,"['Drama', 'Romance']","['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl', 'Haymon Maria Buttinger', 'Erni Mangold', 'Karl Bruckschwaiger', 'Tex Rubinowitz', 'Dominik Castell', 'Harold Waiglein', 'Bilge Jeschim', 'Kurti', 'Hans Weingartner', 'Liese Lyon', 'Peter Ily Huemer', 'Otto Reiter', 'Hubert Fabian Kulterer', 'Branko Andrić', 'Constanze Schweiger', 'John Sloss', 'Alexandra Seibel', 'Georg Schöllhammer', 'Christian Ankowitsch', 'Wilbirg Reiter', 'Barbara Klebel', 'Wolfgang Staribacher', 'Wolfgang Glüxam']",7.9,Richard Linklater,"['sunrise', 'talking', 'soulmates', 'walking', 'austria', 'vienna, austria', 'danube', 'romantic']"
23,"['History', 'Adventure', 'Drama']","['Charlton Heston', 'Jack Hawkins', 'Haya Harareet', 'Stephen Boyd', 'Hugh Griffith', 'Martha Scott', ""Cathy O'Donnell"", 'Frank Thring', 'Sam Jaffe', 'Ady Berber', 'Finlay Currie', 'André Morell', 'Terence Longdon', 'Lando Buzzanca', 'Giuliano Gemma', 'Marina Berti', 'Robert Brown', 'Liana Del Balzo', 'Enzo Fiermonte', 'Richard Hale', 'Duncan Lamont', 'John Le Mesurier', 'Ferdy Mayne', 'May McAvoy', 'Aldo Silvani', 'Ralph Truman', 'George Relph', 'Claude Heater', 'Joe Canutt', 'Richard Coleman', 'Antonio Corevi', 'David Davies', 'Mino Doro', 'Michael Dugan', 'Franco Fantasia', 'José Greci', 'John Horsley', 'Howard Lang', 'Stevenson Lang', 'Tutte Lemkow', 'Cliff Lyons', 'Tiberio Mitri', 'Remington Olmsted', 'Laurence Payne', 'Aldo Pini', 'Diego Pozzetto', 'Stella Rho', 'Edwin Richfield', 'Hector Ross', 'Maxwell Shaw', 'Gianni Solaro', 'Pietro Tordi', 'Raimondo Van Riel', 'Dervis Ward', 'Joe Yrigoyen', 'Nazzareno Zamperla', 'Jerry Brown', 'Eddie Jauregui']",7.8,William Wyler,"['roman', 'prince', 'chariot race', 'jerusalem, israel', 'ancient rome', 'governor', 'politics', 'epic', 'friends', 'remake', 'revenge', 'galley', 'sea battle', 'galley slave', '1st century']"
